Ingredient,Frequency,Percentage
"white rice 13%",1,0.06%
"chicken gravy 3% dried egg",1,0.06%
"naturally preserved with mixed tocopherols.",1,0.06%
"wholegrain cereals 48%",1,0.06%
"salmon 14%",1,0.06%
"fresh carp deboned",1,0.06%
"fresh salmon deboned",1,0.06%
"chicken 54.5%",1,0.06%
"freshly prepared whole egg",1,0.06%
"brown rice 40.5%",1,0.06%
"goose 28%",1,0.06%
"redcurrant",1,0.06%
"dehydrated vegetal broth",1,0.06%
"fructo oligo saccharides",1,0.06%
"algal oil",1,0.06%
"dehusked oats",1,0.06%
"85% fresh meat",1,0.06%
"beet fiber",1,0.06%
"cumin",1,0.06%
"rose hip.",1,0.06%
"chicken & turkey 30%",1,0.06%
"eggshells",1,0.06%
"clear salmon oil",1,0.06%
"probiotic yoghurt",1,0.06%
"bananas",1,0.06%
"broth 37.5%",1,0.06%
"free range deboned duck 50%",1,0.06%
"free range deboned turkey 35%",1,0.06%
"20% veg and superfoods",1,0.06%
"liver hydrolyzate",1,0.06%
"beet molasses escalope",1,0.06%
"licorice root",1,0.06%
"glucosamine hci 0.005%",1,0.06%
"beet pup",1,0.06%
"linseed omega 3 supplement",1,0.06%
"cranberry 0.3%",1,0.06%
"fos mos.",1,0.06%
"freshly prepared salmon 40%",1,0.06%
"dehydrated salmon 25%",1,0.06%
"salmon oil 8%",1,0.06%
"dried spinach powder",1,0.06%
"dried ginger extract",1,0.06%
"pheasant meat 84%",1,0.06%
"prunes",1,0.06%
"duck meat meal",1,0.06%
"joint care",1,0.06%
"50% cereals",1,0.06%
"meat and animals derivatives",1,0.06%
"dried chicken & turkey 18%",1,0.06%
"high quality chicken",1,0.06%
"psyllium husk and seeds",1,0.06%
"%), milk thistle seeds, lactobacillus acidophilus ha 122 inactivated.",1,0.06%
"tapioca 8%",1,0.06%
"chick peas 8%",1,0.06%
"apple 1.25%",1,0.06%
"carrot 1.25%",1,0.06%
"fructo-oligosaccharides 0.2%",1,0.06%
"high nucleotide yeast extract 1848 mg/kg",1,0.06%
"lg max algae 1750 mg/kg.",1,0.06%
"dehydrated lamb meat 24%",1,0.06%
"fresh lamb meat 11%",1,0.06%
"chicken oil 11%",1,0.06%
"hydrolysed lamb liver 3%",1,0.06%
"vegetable mix",1,0.06%
"thereof",1,0.06%
"47% turkey",1,0.06%
"raw quail",1,0.06%
"dehydrated chicken liver",1,0.06%
"grass-fed beef 20%",1,0.06%
"sustainable seasonal vegetables 17%",1,0.06%
"26% chicken meat",1,0.06%
"13% wholegrain rice",1,0.06%
"13% wholegrain maize",1,0.06%
"5% rapeseed oil",1,0.06%
"4% trout",1,0.06%
"3.5% dried herbs",1,0.06%
"2% dried pears",1,0.06%
"2% dried apples",1,0.06%
"1.5% hemp oil",1,0.06%
"1% fish oil",1,0.06%
"clay",1,0.06%
"0.5% mussel meat extract from perna canaliculus",1,0.06%
"borage oil 0.1%",1,0.06%
"pork meat",1,0.06%
"corn flour",1,0.06%
"cassia gum",1,0.06%
"trace elements",1,0.06%
"clinoptilolite of sedimentary origin.",1,0.06%
"brown rice 25%",1,0.06%
"mono - and diglycerides of palmitic and stearic acids esterified with citric acid",1,0.06%
"marigold extract. protein sources: dehydrated poultry protein",1,0.06%
"calcium sulphate",1,0.06%
"50% black soldier fly larvae",1,0.06%
"grass-fed beef 60%",1,0.06%
"sustainable seasonal vegetables 7%",1,0.06%
"39% chicken",1,0.06%
"chicken meal 38%",1,0.06%
"ground dried black angus meat",1,0.06%
"ground brown wholegrain rice",1,0.06%
"ground dried duck meat",1,0.06%
"ground dried herring",1,0.06%
"ground amaranth",1,0.06%
"cold pressed vegetable oil mix",1,0.06%
"dried ground yucca schidigera",1,0.06%
"powdered egg yolk",1,0.06%
"siliceous earth",1,0.06%
"muscle meat extract from green-lipped mussels",1,0.06%
"sea mollusc protein from green-lipped mussels",1,0.06%
"60% fresh beef",1,0.06%
"9% raw dried apple",1,0.06%
"fresh turkey meat 70%",1,0.06%
"sensitive complex.",1,0.06%
"65% boneless turkey thigh",1,0.06%
"20% turkey meat with bone",1,0.06%
"5% turkey liver",1,0.06%
"5% turkey heart",1,0.06%
"4.8% puppy supplement mix",1,0.06%
"meat & meat by products 53%",1,0.06%
"joint aid supplement.",1,0.06%
"42.5% insect",1,0.06%
"13% potato",1,0.06%
"fish by-products",1,0.06%
"meat and animal by-products",1,0.06%
"vegetable by products",1,0.06%
"mannan-oligosaccharide.",1,0.06%
"trace elements and beta-carotene.",1,0.06%
"dried tomato pulp",1,0.06%
"herbal blend",1,0.06%
"79% duck",1,0.06%
"10% seasonal vegetables",1,0.06%
"8% duck liver",1,0.06%
"hemp seed powder",1,0.06%
"omega oil",1,0.06%
"salmon 38.5%",1,0.06%
"dehydrated rabbit meat 26%",1,0.06%
"peas 12%",1,0.06%
"fresh rabbit meat 10%",1,0.06%
"hydrolysed rabbit 3%",1,0.06%
"chicken oil 2%",1,0.06%
"mixed fruit",1,0.06%
"glucosamine 0.09%",1,0.06%
"chondroitin 0.02%",1,0.06%
"carrot puree",1,0.06%
"limestone flour",1,0.06%
"glucosamine. *minerals include vitamins b complex",1,0.06%
"vitamin c",1,0.06%
"vitamin k",1,0.06%
"lamb 40%",1,0.06%
"whole barley 11.5%",1,0.06%
"sugar beet pulp 2%",1,0.06%
"methionine 0.05%",1,0.06%
"lamb ingredients 25%",1,0.06%
"rice porridge",1,0.06%
"oats porridge",1,0.06%
"ground dried norwegian salmon 11%",1,0.06%
"dried free range egg 8%",1,0.06%
"free range chicken protein peptides 4%",1,0.06%
"ground krill protein 2%",1,0.06%
"prebiotics: mannanoligosaccharides fructooligosaccharides",1,0.06%
"dl methionine.",1,0.06%
"cucumber",1,0.06%
"goat's milk",1,0.06%
"horsetail",1,0.06%
"hawthorn berry powder",1,0.06%
"dried poultry meat",1,0.06%
"freshly prepared poultry liver",1,0.06%
"freshly prepared salmon and trout",1,0.06%
"dried fish meat",1,0.06%
"l carnitine",1,0.06%
"beta carotene.",1,0.06%
"duck 14%",1,0.06%
"carrot 0.5%",1,0.06%
"salmon oil 0.45%",1,0.06%
"cowberries 0.3%",1,0.06%
"banana 0.1%",1,0.06%
"dried wild berries 0.8%",1,0.06%
"green freeze dried pieces 1.5%",1,0.06%
"red freeze dried pieces 1.5%",1,0.06%
"fish 70.5%",1,0.06%
"51% free range turkey",1,0.06%
"trout oil",1,0.06%
"milk thistle seed.",1,0.06%
"0.9% organic pressed flaxseed oil",1,0.06%
"crushed eggshell",1,0.06%
"0.6% organic kelp seaweed",1,0.06%
"0.5% spirulina",1,0.06%
"0.4% organic wheatgrass",1,0.06%
"0.3% turmeric",1,0.06%
"0.27% enhanced herbs and botanicals",1,0.06%
"0.09% green lipped mussel powder.",1,0.06%
"chicken ingredients 38%",1,0.06%
"fodder oat flour",1,0.06%
"low ash dried poultry protein",1,0.06%
"fish meal from sea fish",1,0.06%
"carob pods",1,0.06%
"beef 85%",1,0.06%
"coconut flakes",1,0.06%
"algae lime",1,0.06%
"egg shell powder.",1,0.06%
"brown rice 18.5%",1,0.06%
"sepiolite clay",1,0.06%
"l-tryptophan",1,0.06%
"magnesium sulphate.",1,0.06%
"chicory inulin, yeasts, glucosamine, yucca schidigera extract, chondroitin sulphate, cranberry extract, pomegranate extract, green tea extract.",1,0.06%
"36% insect",1,0.06%
"6% potato",1,0.06%
"dha dried algae",1,0.06%
"milk thistle powder",1,0.06%
"lycopene.",1,0.06%
"chicory inulin, yeasts, glucosamine, chondroitin sulphate, mint, yucca schidigera extract, cranberry extract, pomegranate extract, green tea extract.",1,0.06%
"75% meat",1,0.06%
"vegetables and fruits 19.5%",1,0.06%
"turmeric powder 0.15%",1,0.06%
"potassium citrate",1,0.06%
"inactivated lactobacillus helveticus ha 122.",1,0.06%
"chicken powder",1,0.06%
"lamb hydrolysate",1,0.06%
"fish 16%",1,0.06%
"dried poultry protein 22%",1,0.06%
"dried eggs shells",1,0.06%
"skimmed milk powder",1,0.06%
"10% raw apple",1,0.06%
"6% millet",1,0.06%
"0.5% moisture.",1,0.06%
"green tripe",1,0.06%
"mixture of dried herbs",1,0.06%
"fruit and vegetables",1,0.06%
"75% lamb",1,0.06%
"apple 20%",1,0.06%
"gelatine hydrolysate 4%",1,0.06%
"minerals 1%.",1,0.06%
"brewer‘s rice",1,0.06%
"fresh chicken 35%",1,0.06%
"fresh salmon 5%",1,0.06%
"broccoli 0.04%",1,0.06%
"blueberry 0.04%",1,0.06%
"cowberry 0.04%",1,0.06%
"cranberry 0.04%",1,0.06%
"kale 0.04%",1,0.06%
"maca 0.04%",1,0.06%
"field beans 12%",1,0.06%
"chickpeas 4%",1,0.06%
"lucerne 4%",1,0.06%
"90% lamb",1,0.06%
"salmon protein hydrolyzed",1,0.06%
"british and irish farmed chicken 51%",1,0.06%
"broth 33.5%",1,0.06%
"cooked white rice 12.5",1,0.06%
"chicory root; prebiotic fos 0.05%",1,0.06%
"chicken 37.2%",1,0.06%
"steel-cut oats",1,0.06%
"fresh cage-free eggs",1,0.06%
"sun-cured alfalfa",1,0.06%
"fresh pumpkin",1,0.06%
"fresh parsnips",1,0.06%
"fresh green kale",1,0.06%
"fresh pears",1,0.06%
"freeze-dried chicken liver",1,0.06%
"fresh cranberries",1,0.06%
"fresh blueberries",1,0.06%
"43% free range skinless chicken",1,0.06%
"38% grass fed beef",1,0.06%
"0.6% kelp seaweed",1,0.06%
"lamb protein",1,0.06%
"oat husk meal",1,0.06%
"fresh turkey 26%",1,0.06%
"glucosamine 0.036%",1,0.06%
"chondroitin sulfate 0.026%",1,0.06%
"mannan oligosaccharides 0.018%",1,0.06%
"fructo oligosaccharides 0.015%",1,0.06%
"mojave yucca 0.012%",1,0.06%
"citrus extract 0.006%",1,0.06%
"curcuma extract 0.006%",1,0.06%
"rosemary extract 0.006%.",1,0.06%
"boneless british beef 47.89%",1,0.06%
"free range british turkey 35.77%",1,0.06%
"organic broccoli 2.92%",1,0.06%
"whole blackberries 1.88%",1,0.06%
"organic british egg 1.88%",1,0.06%
"organic kale 1.04%",1,0.06%
"sustainably hand-harvested organic scottish seaweed 0.7%",1,0.06%
"wheatgrass 0.34%",1,0.06%
"organic pumpkin seeds 0.34%",1,0.06%
"organic hemp seeds 0.34%",1,0.06%
"nettles 0.1%.",1,0.06%
"turkey 32.7%",1,0.06%
"whole linseed. prebiotic fos",1,0.06%
"flaked soya",1,0.06%
"free range chicken 50%",1,0.06%
"garden peas 3%",1,0.06%
"organic turkey* 26%",1,0.06%
"organic coconut* 0.15%",1,0.06%
"organic chia seeds* 0.15%",1,0.06%
"organic rosehips* 0.1%",1,0.06%
"organic chamomile* 0.1%. *produced from controlled organic farming.",1,0.06%
"meat and animal derivatives 27%",1,0.06%
"dried duck meat",1,0.06%
"glucosamine 178mg/kg",1,0.06%
"methylsulfonylmethane 178 mg/kg",1,0.06%
"chondroitin 125 mg/kg",1,0.06%
"cinnamon.",1,0.06%
"14% rice",1,0.06%
"2.8% chicken fat",1,0.06%
"dried whole green peas",1,0.06%
"turkey 24%",1,0.06%
"natural seaweed meal",1,0.06%
"crustaceans",1,0.06%
"brown rice 5%",1,0.06%
"carrots 2%. salmon oil",1,0.06%
"chicken 33%",1,0.06%
"rabbit 4%",1,0.06%
"eggs dried",1,0.06%
"potato protein 18.5%",1,0.06%
"yeast 7.35%",1,0.06%
"beet pulp 7%",1,0.06%
"linseed 5%",1,0.06%
"salmon hydrolysate 2%",1,0.06%
"mineral substances 0.9%",1,0.06%
"citrus extract 0.05%",1,0.06%
"yucca 0.02%.",1,0.06%
"dehydrated chicken turkey duck and pork",1,0.06%
"alfalfa pellets",1,0.06%
"rice 26 %",1,0.06%
"dried lamb protein 14 %",1,0.06%
"90% meat",1,0.06%
"vegetables and fruits 6.8%",1,0.06%
"wheatgrass powder 0.7%",1,0.06%
"free range deboned turkey 85%",1,0.06%
"strawberry 4%",1,0.06%
"dicalcium",1,0.06%
"salmon pro",1,0.06%
"poultry protein hydrolysate",1,0.06%
"salmon 40%",1,0.06%
"sweet potato 31%",1,0.06%
"glucosamine 177 mg/kg",1,0.06%
"methylsulfonylmethane 177 mg/kg",1,0.06%
"chondroitin sulphate 124 mg/kg.",1,0.06%
"potatoes 10%",1,0.06%
"courgettes 6%",1,0.06%
"millet 6%",1,0.06%
"lupin 4%",1,0.06%
"lentils 3%",1,0.06%
"pea protein 3%",1,0.06%
"sunflower seeds 2%",1,0.06%
"sunflower oil 2%",1,0.06%
"chia seeds 0.3%",1,0.06%
"parsley 0.2%",1,0.06%
"basil 0.2%",1,0.06%
"turkey 47%",1,0.06%
"whole brown rice 24%",1,0.06%
"whole barley 11%",1,0.06%
"whole oats 11%",1,0.06%
"mono and diglycerides",1,0.06%
"dried poultry protein 10.0%",1,0.06%
"sodium butyrate",1,0.06%
"new zealand green mussel",1,0.06%
"beef bone",1,0.06%
"lecithin.",1,0.06%
"sweet potato 23%",1,0.06%
"chicken fat 5%",1,0.06%
"40% chicken & bone",1,0.06%
"20% tripe",1,0.06%
"20% ox heart",1,0.06%
"5% liver",1,0.06%
"15% fruit & vegetables",1,0.06%
"chicken 59%",1,0.06%
"turkey 8%",1,0.06%
"tomato 1%",1,0.06%
"blueberries 0.8%",1,0.06%
"linseed oil 0.25%",1,0.06%
"strawberries 0.1%",1,0.06%
"flaked potato",1,0.06%
"ox heart 25%",1,0.06%
"bone 10%",1,0.06%
"offal 10%",1,0.06%
"vegetables 10% carrot",1,0.06%
"peas.",1,0.06%
"50% fresh fish",1,0.06%
"20% fresh chicken",1,0.06%
"5.12% beet pulp",1,0.06%
"3% brewers yeast",1,0.06%
"1.25% pumpkin",1,0.06%
"superfoods 7%, coconut oil, blueberries, manuka honey)",1,0.06%
"brown whole grain rice 35%",1,0.06%
"cheese",1,0.06%
"pumpkin seed",1,0.06%
"poultry meat meal 26.0%",1,0.06%
"white rice 26.0%",1,0.06%
"lamb 34.0%",1,0.06%
"tuna 45%",1,0.06%
"sweet potato 12%",1,0.06%
"sunflower oil 1.7%",1,0.06%
"olive oil 0.2%",1,0.06%
"seaweed extract 0.2%",1,0.06%
"yucca extract 0.05%",1,0.06%
"pomegranate extract.",1,0.06%
"potato flour 36%",1,0.06%
"dried chicken meat 29%",1,0.06%
"cold-pressed blended vegetable oil 4.5%",1,0.06%
"duck 44%",1,0.06%
"fresh duck 26%",1,0.06%
"mojave yucca 0.01%.",1,0.06%
"chicken 48%",1,0.06%
"monosodium phosphate chicory root extract",1,0.06%
"whole egg power",1,0.06%
"mixed herbs 500mg",1,0.06%
"chicken 68%",1,0.06%
"grass-fed beef 17%",1,0.06%
"beef forequarter steak 24%",1,0.06%
"beef uncapped heart 23%",1,0.06%
"red pepper 10.5%",1,0.06%
"beef liver 7.5%",1,0.06%
"beef kidney 5.5%",1,0.06%
"cruciferous spinach leaf 5%",1,0.06%
"sweet potato 5.5%",1,0.06%
"pre-soaked white quinoa 4.3%",1,0.06%
"parsnip 3.7%",1,0.06%
"rosemary-infused sunflower oil 2%",1,0.06%
"dessicated coconut 1%",1,0.06%
"mushroom 1%",1,0.06%
"vitamins & minerals 0.87%",1,0.06%
"cold-pressed hempseed oil 0.7%",1,0.06%
"puppy botanicals 0.34%",1,0.06%
"enterococcus faecium",1,0.06%
"egg shell membrane.",1,0.06%
"31% chicken",1,0.06%
"mannan and fructo oligosaccharides",1,0.06%
"50.5% chicken",1,0.06%
"rabbit meal 79%",1,0.06%
"salmon 6.0 %",1,0.06%
"hemoglobin powder",1,0.06%
"chicory ground root",1,0.06%
"new zealand green lipped mussel meat.",1,0.06%
"courgette 3%",1,0.06%
"beef 80%",1,0.06%
"apples 5%",1,0.06%
"pea fibre 1.25%",1,0.06%
"butternut squash 1%",1,0.06%
"sunflower oil 0.8% cranberries 0.5%",1,0.06%
"blackberries 0.5%",1,0.06%
"dehydrated meat protein",1,0.06%
"poultry meat meal 29.5%",1,0.06%
"sweet potato chips 22%",1,0.06%
"carnitine 200mg/kg",1,0.06%
"fennel 150mg/kg",1,0.06%
"turmeric 100mg/kg.",1,0.06%
"organic chicken 26%",1,0.06%
"carrots 25%",1,0.06%
"wild boar",1,0.06%
"mutton",1,0.06%
"dehydrated wild boar",1,0.06%
"probiotic lactobacillus helveticus.",1,0.06%
"wholegrain cereals 52%",1,0.06%
"unmolassed sugar beet",1,0.06%
"dehydrated turkey and dehydrated chicken meat 20%",1,0.06%
"wholegrain rice 15%",1,0.06%
"ground rice 11%",1,0.06%
"lentils 5%",1,0.06%
"dehydrated salmon 2%",1,0.06%
"hydrolysed chicken liver 1%",1,0.06%
"fruit 0.3%",1,0.06%
"vegetables 0.3%",1,0.06%
"rosemary 0.12%",1,0.06%
"malva 0.04%",1,0.06%
"meat and animal derivatives 47%",1,0.06%
"salmon 35%",1,0.06%
"fresh salmon 15%",1,0.06%
"dried kelp ascophyllum nodosum",1,0.06%
"chicken 63%",1,0.06%
"crushed eggshells",1,0.06%
"0.7% kelp seaweed",1,0.06%
"hydrolysed soya protein",1,0.06%
"glycerine",1,0.06%
"whole grain brown rice",1,0.06%
"parsley flake",1,0.06%
"dried chicory root.",1,0.06%
"herring",1,0.06%
"sardines",1,0.06%
"dehydrated pollock",1,0.06%
"dehydrated whiting",1,0.06%
"bass",1,0.06%
"dehydrated seabream",1,0.06%
"dehydrated hake",1,0.06%
"meat and animal derivatives 28%",1,0.06%
"chilled chicken",1,0.06%
"potato granules",1,0.06%
"minerals. *minerals include vitamins b complex",1,0.06%
"c and k",1,0.06%
"vegetables and fruit 8%",1,0.06%
"18% organic dried chicken",1,0.06%
"organic whole green peas",1,0.06%
"organic whole yellow peas",1,0.06%
"organic potato starch",1,0.06%
"wild dried msc herring",1,0.06%
"organic hydrolyzed pork liver",1,0.06%
"yucca extract 200mg/kg",1,0.06%
"marigold meal 50mg/kg",1,0.06%
"rosemary extract 5mg/kg.",1,0.06%
"rabbit 26%",1,0.06%
"tomato 2%",1,0.06%
"fennel seeds 0.1%.",1,0.06%
"weetsweet.",1,0.06%
"turkey 40.5%",1,0.06%
"dehydrated duck protein",1,0.06%
"hydrolysed poultry proteins",1,0.06%
"chicken 26.8%",1,0.06%
"poultry 4.3%",1,0.06%
"maize protein feed",1,0.06%
"meat and bone meal 3.2%",1,0.06%
"beef meal 3.2%",1,0.06%
"broccoli 4%",1,0.06%
"cranberries 4%",1,0.06%
"chicory inulin, yeasts, marigold meal, yucca schidigera extract, cranberry extract, glucosamine, chondroitin sulphate, pomegranate extract, green tea extract.",1,0.06%
"joint herb & spice blend: ginger",1,0.06%
"frankincense",1,0.06%
"fenugreek seed",1,0.06%
"dried lamb 35%",1,0.06%
"fresh lamb 15%",1,0.06%
"brewer's dried yeast.",1,0.06%
"scottish salmon 34%",1,0.06%
"chicken 27%",1,0.06%
"trout 10%",1,0.06%
"fos spinach",1,0.06%
"glucosamine methylsulfonylmethane chondroitin sulphate",1,0.06%
"salmon protein 5%",1,0.06%
"chicken oil 5%",1,0.06%
"fresh chicken giblets 8%",1,0.06%
"19.5% lamb protein",1,0.06%
"0.6% sunflower oil",1,0.06%
"organic brown rice 33.61%",1,0.06%
"organic oats 23.15%",1,0.06%
"organic barley 18.98%",1,0.06%
"organic fish meal 18.52%",1,0.06%
"salmon oil 3.70%",1,0.06%
"organic sunflower oil 1.39%",1,0.06%
"broccoli 0.01%",1,0.06%
"d-glucosamine hydrochloride 100 mg/kg",1,0.06%
"chondroitin sulphate 100 mg/kg",1,0.06%
"dried poultry protein 15.0%",1,0.06%
"31% meat stock",1,0.06%
"14% lamb lung",1,0.06%
"3% potatoes",1,0.06%
"2% white beans",1,0.06%
"2% carrots",1,0.06%
"1% blueberries",1,0.06%
"0.5% herbs",1,0.06%
"borage oil.",1,0.06%
"85% british chicken meat",1,0.06%
"seasonal british vegetables and berries",1,0.06%
"wheatgrass 0.5%",1,0.06%
"irish kelp 0.5%",1,0.06%
"atlantic salmon oil 0.5%.",1,0.06%
"chicken thigh",1,0.06%
"grass fed ox heart",1,0.06%
"chicken backs",1,0.06%
"grass fed ox liver",1,0.06%
"fresh free range egg yolk",1,0.06%
"grass fed ox spleen",1,0.06%
"chicken carcass",1,0.06%
"organic red cabbage",1,0.06%
"organic courgettes",1,0.06%
"organic mooli",1,0.06%
"organic cold pressed flaxseed oil",1,0.06%
"organic pumpkin seeds",1,0.06%
"organic ginger",1,0.06%
"himalayan pink rock salt",1,0.06%
"organic parsley",1,0.06%
"organic wheat grass",1,0.06%
"wild grown seaweed.",1,0.06%
"chicken turkey and salmon 60%",1,0.06%
"sprouts",1,0.06%
"green lip mussel",1,0.06%
"yucca), 1% trout oil, glucosamine, chondroitin, msm.",1,0.06%
"fish 37%",1,0.06%
"barley 10%",1,0.06%
"dried seaweed 0.2%",1,0.06%
"british chicken 40%",1,0.06%
"british turkey with bone 20%",1,0.06%
"british salmon 10%",1,0.06%
"wild herring 10%",1,0.06%
"kale.",1,0.06%
"70% salmon",1,0.06%
"2% peas",1,0.06%
"slippery elm 0.1%",1,0.06%
"lignocellulose linseed",1,0.06%
"grape seed.",1,0.06%
"couch grass",1,0.06%
"chick peas 4%",1,0.06%
"red kidney beans 2%",1,0.06%
"white potato 2%",1,0.06%
"slippery elm 0.01%.",1,0.06%
"lamb digest",1,0.06%
"boswellia serrata",1,0.06%
"fresh organic chicken",1,0.06%
"organic whole peas",1,0.06%
"organic whole lentils",1,0.06%
"organic chicken gravy",1,0.06%
"organic botanicals and herbs 1%",1,0.06%
"organic parsnips",1,0.06%
"poultry meat meal 31%",1,0.06%
"sweet potato chips 16%",1,0.06%
"dried egg 2.5%",1,0.06%
"seaweed 500mg/kg",1,0.06%
"ginger 100mg/kg.",1,0.06%
"lamb 43%",1,0.06%
"dried mulberries",1,0.06%
"dried lingonberries",1,0.06%
"45.5% chicken",1,0.06%
"oat flakes",1,0.06%
"hemp protein",1,0.06%
"lupins",1,0.06%
"moringa",1,0.06%
"wild boar 80%",1,0.06%
"dried pumpkin 1.5%",1,0.06%
"dried banana 0.5%",1,0.06%
"broccoli 0.25%",1,0.06%
"dried parsley 0.25%",1,0.06%
"msm 1000mg/kg.",1,0.06%
"90% fresh meat",1,0.06%
"methylsufonylmethane",1,0.06%
"85% beef",1,0.06%
"tocopherol",1,0.06%
"colourants. * may contain gm material.",1,0.06%
"50.5% turkey",1,0.06%
"dried chicken and turkey 27%",1,0.06%
"chicken sauce",1,0.06%
"duck with bone",1,0.06%
"venison with bone",1,0.06%
"beef trachea",1,0.06%
"ground black pepper",1,0.06%
"wheatgrass.",1,0.06%
"10% beef offal",1,0.06%
"20% vegetables.",1,0.06%
"dried chicken and turkey 25%",1,0.06%
"glucosamine hydrochloride.",1,0.06%
"sweet potato 40%",1,0.06%
"vitamins and minerals 2.5%",1,0.06%
"dried ground duck 1%",1,0.06%
"turmeraid 0.6%",1,0.06%
"dried herbs 0.18%",1,0.06%
"linseed oil 0.1%",1,0.06%
"fish flour 34%",1,0.06%
"rice 32%",1,0.06%
"glucosamine- hci 0.01%",1,0.06%
"black soldier fly larvae 33%",1,0.06%
"potato 27%",1,0.06%
"chelated minerals",1,0.06%
"prebiotics fos &amp; mos",1,0.06%
"duck 60%",1,0.06%
"dried vegetarian stock",1,0.06%
"beef meat meal 20.0%",1,0.06%
"extract of yucca schidigera 25 mg/kg.",1,0.06%
"freshly prepared free range chicken 22%",1,0.06%
"dehydrated chicken 15%",1,0.06%
"freshly prepared salmon 9%",1,0.06%
"dehydrated turkey 7%",1,0.06%
"freshly prepared chicken liver 6%",1,0.06%
"chicken fat 4%",1,0.06%
"potato fibre 4%",1,0.06%
"superfood blend",1,0.06%
"chicken stock 2%",1,0.06%
"freshly prepared free range egg 2%",1,0.06%
"pre-biotic fos 1730mg/kg.",1,0.06%
"flavour from plant origin",1,0.06%
"blackcurrant.",1,0.06%
"salmon 36%",1,0.06%
"dried potato 25%",1,0.06%
"whole sorghum 9%",1,0.06%
"molluscs and crustaceans",1,0.06%
"egg product",1,0.06%
"roasted venison",1,0.06%
"potato fibre",1,0.06%
"32.6% meat broth",1,0.06%
"21% lamb",1,0.06%
"1% wild berries",1,0.06%
"0.5% eggshell powder",1,0.06%
"0.1% safflower oil",1,0.06%
"0.1% brewers' yeast",1,0.06%
"0.1% chicory inulin.",1,0.06%
"poultry",1,0.06%
"beef 4%",1,0.06%
"freshly prepared organic chicken",1,0.06%
"organic beetroot",1,0.06%
"organic sesame oil",1,0.06%
"3% pea",1,0.06%
"2% blackberry",1,0.06%
"20.3% rice",1,0.06%
"13.5% oats",1,0.06%
"0.4% dried carrot",1,0.06%
"dried chicken and turkey 22%",1,0.06%
"dried chicken & turkey 16%",1,0.06%
"mannanoligosaccharides 315mg/kg",1,0.06%
"fructooligosaccharides 315mg/kg",1,0.06%
"glucosamine 180mg/kg",1,0.06%
"methylsulfonylmethane 180mg/kg",1,0.06%
"chondroitin sulphate 125mg/kg",1,0.06%
"50% beef green tripe",1,0.06%
"30% chicken with bone",1,0.06%
"sesame seeds",1,0.06%
"cherry powder.",1,0.06%
"minerals and yeast.",1,0.06%
"meat and animal derivatives 51%",1,0.06%
"british and irish farmed chicken 50%",1,0.06%
"cooked white rice 7.5%",1,0.06%
"chicory root; prebiotic fos 0.06%",1,0.06%
"60% lamb and chicken",1,0.06%
"vegetables 5%",1,0.06%
"soybeans",1,0.06%
"pea protein concentrate",1,0.06%
"organic rice protein concentrate",1,0.06%
"sweet lupins",1,0.06%
"organic brown rice",1,0.06%
"salmon 30%",1,0.06%
"cowberries 0.15%",1,0.06%
"cranberries 0.1%",1,0.06%
"maca 0.1%",1,0.06%
"fish flour 35%",1,0.06%
"rice 31%",1,0.06%
"glucosamine-hcl 0.01%",1,0.06%
"deboned chicken",1,0.06%
"deboned salmon",1,0.06%
"meat and animal derivatives 80%",1,0.06%
"meat and animal derivates",1,0.06%
"dried turkey 25%",1,0.06%
"millet 9%",1,0.06%
"british organic chicken meat with bone 65%",1,0.06%
"turmeric 0.24%",1,0.06%
"diatomaceous earth 0.12%",1,0.06%
"hydrolysed fish proteins",1,0.06%
"acai berry",1,0.06%
"chia seed and turmeric.",1,0.06%
"egg products",1,0.06%
"sea fish meal",1,0.06%
"roast quail",1,0.06%
"roast duck",1,0.06%
"dried turkey 21%",1,0.06%
"millet 16%",1,0.06%
"beef and lamb meal",1,0.06%
"90% chicken & bone",1,0.06%
"10% fruit & vegetables",1,0.06%
"50% beef",1,0.06%
"15% wild boar",1,0.06%
"3% spatzle noodles",1,0.06%
"3% lingonberries",1,0.06%
"syrup",1,0.06%
"pasta",1,0.06%
"ground chicory root.",1,0.06%
"chicken and salmon 50.5%",1,0.06%
"chicken and turkey",1,0.06%
"carob meal.",1,0.06%
"cereal 25%",1,0.06%
"dried swiss chicken meat",1,0.06%
"steamed potato",1,0.06%
"dried arctic sea fish",1,0.06%
"pureed vegetables",1,0.06%
"cold-pressed vegetable oils",1,0.06%
"chestnut flour",1,0.06%
"seafood mixture",1,0.06%
"alpine herbs",1,0.06%
"rosemary oil",1,0.06%
"chicken 75%",1,0.06%
"duck liver 5%",1,0.06%
"chicken 21%",1,0.06%
"dried egg.",1,0.06%
"apples 1%",1,0.06%
"meat and animal derivatives 19%",1,0.06%
"hydrolysed yeast and chicory extract",1,0.06%
"muscle meat",1,0.06%
"organ meat",1,0.06%
"pork rind",1,0.06%
"lung",1,0.06%
"herb",1,0.06%
"freshly prepared chicken 40%",1,0.06%
"dehydrated chicken 25%",1,0.06%
"potato starch 7.5%",1,0.06%
"chicken fat 7.5%",1,0.06%
"dried chicken & turkey 15%",1,0.06%
"partially hydrolyzed yeast",1,0.06%
"hydrolyzed vegetable protein",1,0.06%
"herbs and fruits",1,0.06%
